dataset,model,mAP50,mAP50-95,precision,recall,training_time_seconds
hrsid,retinanet,,, , ,11796.408064126968
hrsid,rtdetr,0.83388,0.5769,0.82743,0.75563,15852.4
hrsid,yolo11,0.8624648337217079,0.6260252906953563,0.9191645282405034,0.7646302250803858,4987.034571886063
hrsid,yolov8,0.8641605443039573,0.628409504240436,0.899546127513553,0.780064308681672,4347.278079748154
ssdd,retinanet,,, , ,400.1552131175995
ssdd,rtdetr,0.8468822049646202,0.5846861413289496,0.7718145469232717,0.7899949148978004,6945.8526837825775
ssdd,yolo11,0.9563294117110186,0.6823377100133851,0.9579361149925306,0.8778854388525901,1295.8623597621918
ssdd,yolov8,0.9610044993411537,0.6872308960171353,0.9579609529053532,0.8784275195910217,1079.4776418209076
